Brand,Name,Price(in Euros €),Product_Url,Image_Url
Anon,Anon M3 Blkpop (+Bonus Lens),"
        € 159,95",https://www.blue-tomato.com/de-AT/product/Anon-M3+Blkpop+Bonus+Lens+Goggle-625835/,//images.blue-tomato.com/is/image/bluetomato/304362913_front.jpg-BT4zQjzS-Gv0OsiafoFvps_kfbs/Anon+M3+Blkpop+Bonus+Lens+Goggle.jpg
Bern,Bern Macon 2.0 Helmet,"
        € 84,95",https://www.blue-tomato.com/de-AT/product/Bern-Macon+2+0+Helm-630538/,//images.blue-tomato.com/is/image/bluetomato/304377770_front.jpg-bFVJFRfhUY6BvFAO1s_3wDGiQBk/Bern+Macon+2+0+Helm.jpg
Anon,Anon Raider 3 Helmet,"
        € 79,95",https://www.blue-tomato.com/de-AT/product/Anon-Raider+3+Helm-567238/,//images.blue-tomato.com/is/image/bluetomato/303924730_front.jpg-qAirhTxj79KqE6lzER0HGcg-knw/Anon+Raider+3+Helm.jpg
Rossignol,Rossignol Black Ops Splitboard Skins,"
        € 139,95",https://www.blue-tomato.com/de-AT/product/Rossignol-Black+Ops+Splitboard+Felle-644313/,//images.blue-tomato.com/is/image/bluetomato/304495812_front.jpg-c4H4q1XAxdbihK69Om2OHXzA3vw/Rossignol+Black+Ops+Splitboard+Felle.jpg
Sweet Protection,Sweet Protection Looper Helmet,"
        € 109,95",https://www.blue-tomato.com/de-AT/product/Sweet+Protection-Looper+Helm-626576/,//images.blue-tomato.com/is/image/bluetomato/304366835_front.jpg-1j8N2sUf1CT9q9txGZ2iWfpw3lc/Sweet+Protection+Looper+Helm.jpg
Anon,Anon Helix 2 Black (+Bonus Lens),"
        € 64,95",https://www.blue-tomato.com/de-AT/product/Anon-Helix+2+Black+Bonus+Lens+Goggle-625881/,//images.blue-tomato.com/is/image/bluetomato/304362959_front.jpg-O8Iv_XhONkT55cKkax6RWAXvF6I/Anon+Helix+2+Black+Bonus+Lens+Goggle.jpg
Ride,Ride Agenda 161W + C2 L 2021 Snowboard Set,"
        € 329,95",https://www.blue-tomato.com/de-AT/product/Ride-Agenda+161W+C2+L+2021+Snowboard+Set-625562/,//images.blue-tomato.com/is/image/bluetomato/304360694_front.jpg-rAVFs_Nn9cgNSeGTOWH4o0grB0k/Ride+Agenda+161W+C2+L+2021+Snowboard+Set.jpg
Oakley,Oakley Fall Line XM Factory Pilot Rubin Jasmine,"
        € 149,95",https://www.blue-tomato.com/de-AT/product/Oakley-Fall+Line+XM+Factory+Pilot+Rubin+Jasmine+Goggle-624144/,//images.blue-tomato.com/is/image/bluetomato/304356228_front.jpg-LC1y82z6ZrcSYc708bggy8vS-oU/Oakley+Fall+Line+XM+Factory+Pilot+Rubin+Jasmine+Goggle.jpg
Burton,Burton Genesis Re:Flex 2021,"
        € 349,95",https://www.blue-tomato.com/de-AT/product/Burton-Genesis+2021+Snowboardbindung-622741/,//images.blue-tomato.com/is/image/bluetomato/304342240_front.jpg-i7MQrfBdC27nMqIgOof3KdNzlQ0/Burton+Genesis+2021+Snowboardbindung.jpg
CAPiTA,CAPiTA Mercury 159 2021,"
        € 479,-",https://www.blue-tomato.com/de-AT/product/CAPiTA-Mercury+159+2021+Snowboard-618450/,//images.blue-tomato.com/is/image/bluetomato/304300169_front.jpg-KEdpT4mzFzpeVXXkwHsMcN8sFjE/CAPiTA+Mercury+159+2021+Snowboard.jpg
Gnu,Gnu Riders Choice 162W 2021,"
        € 439,-",https://www.blue-tomato.com/de-AT/product/Gnu-Riders+Choice+162W+2021+Snowboard-628630/,//images.blue-tomato.com/is/image/bluetomato/304372787_front.jpg-zyan3ma6PoH2VsF2QNfvjcrHmAk/Gnu+Riders+Choice+162W+2021+Snowboard.jpg
Dragon,Dragon RVX OTG Azimuth (+Bonus Lens) Goggle,"
        € 179,95",https://www.blue-tomato.com/de-AT/product/Dragon-RVX+OTG+Azimuth+Bonus+Lens+Goggle-627815/,//images.blue-tomato.com/is/image/bluetomato/304370220_front.jpg-rdEa0qJVx-pm8fmurihBD0899XI/Dragon+RVX+OTG+Azimuth+Bonus+Lens+Goggle.jpg
Bent Metal,Bent Metal Axtion 2021,"
        € 199,95",https://www.blue-tomato.com/de-AT/product/Bent+Metal-Axtion+2021+Snowboardbindung-628586/,//images.blue-tomato.com/is/image/bluetomato/304372705_front.jpg-Kmhg0JKe62_Y33VJ8zB_P-pj_Ss/Bent+Metal+Axtion+2021+Snowboardbindung.jpg
Toko,Toko Edge Tuner Pro,"
        € 59,95",https://www.blue-tomato.com/de-AT/product/Toko-Edge+Tuner+Pro-142162/,//images.blue-tomato.com/is/image/bluetomato/300750467_front.jpg-iAGaak3EfLx3XNANEml_s-NQGs8/Toko+Edge+Tuner+Pro.jpg
Dakine,Dakine Tour 165cm Snowboard Bag,"
        € 94,95",https://www.blue-tomato.com/de-AT/product/Dakine-Tour+165cm+Snowboard+Tasche-464837/,//images.blue-tomato.com/is/image/bluetomato/303064528_front.jpg-bvKlCdC_-U9xHCmKC9ZO1IDjprY/Dakine+Tour+165cm+Snowboard+Tasche.jpg
Dainese,Dainese Auxagon Waistcoat Back Protector,"
        € 119,95",https://www.blue-tomato.com/de-AT/product/Dainese-Auxagon+Waistcoat+Rueckenprotektor-624419/,//images.blue-tomato.com/is/image/bluetomato/304356567_front.jpg-fDLmXvRTVylg30BORhBZoZy3HvY/Dainese+Auxagon+Waistcoat+Rueckenprotektor.jpg
